siteid,cfm/sf,totalmeasurement,conditionedmeasurement,OutdoorAir [cfm],OA Heating Load [kBtu],OA Cooling Load [kBtu],EstAreaSF,OA Heating [sf / kBtu],OA Cooling [sf / ton]
100016,0.6399999999999999,172055.18,123604.0,0.0,0.0,0.0,123604.0,inf,inf
100201,0.9299999999999999,43059.0,43059.0,0.0,0.0,0.0,43059.0,inf,inf
101127,1.3600000000000003,53564.0,49553.0,0.0,0.0,0.0,49553.0,inf,inf
101959,0.8200000000000001,63555.0,63555.0,0.0,0.0,0.0,63555.0,inf,inf
102217,0.23,502651.0,108792.0,0.0,0.0,0.0,108792.0,inf,inf
102938,4.9399999999999995,140535.0,52641.0,0.0,0.0,0.0,52641.0,inf,inf
103148,1.2400000000000002,9385.0,9298.0,0.0,0.0,0.0,9298.0,inf,inf
103453,2.1100000000000003,191040.0,158029.0,0.0,0.0,0.0,158029.0,inf,inf
104111,1.25,109789.0,12448.0,0.0,0.0,0.0,12448.0,inf,inf
104148,2.02,33768.0,21711.0,0.0,0.0,0.0,21711.0,inf,inf
104916,0.25,43454.0,14114.0,0.0,0.0,0.0,14114.0,inf,inf
105459,0.16,132431.0,71731.0,0.0,0.0,0.0,71731.0,inf,inf
105601,0.22,29711.0,29447.0,0.0,0.0,0.0,29447.0,inf,inf
105632,0.51,105275.0,80921.0,0.0,0.0,0.0,80921.0,inf,inf
105795,1.1600000000000001,8180.5,7175.5,0.0,0.0,0.0,7175.5,inf,inf
106207,3.32,119157.0,119157.0,0.0,0.0,0.0,119157.0,inf,inf
106260,0.53,31193.0,18240.0,0.0,0.0,0.0,18240.0,inf,inf
106376,3.5000000000000004,66308.0,64472.0,0.0,0.0,0.0,64472.0,inf,inf
107545,0.28,45293.4,45093.4,0.0,0.0,0.0,45093.4,inf,inf
107643,4.38,68213.0,49563.0,0.0,0.0,0.0,49563.0,inf,inf
107666,0.55,148428.59999999998,61595.0,0.0,0.0,0.0,61595.0,inf,inf
108274,0.4,110845.0,81512.0,0.0,0.0,0.0,81512.0,inf,inf
108462,0.78,63550.0,58365.0,0.0,0.0,0.0,58365.0,inf,inf
108503,0.56,305460.0,105630.0,0.0,0.0,0.0,105630.0,inf,inf
108793,2.0100000000000002,37222.0,23196.0,0.0,0.0,0.0,23196.0,inf,inf
108855,0.76,5747.0,5072.0,0.0,0.0,0.0,5072.0,inf,inf
109236,1.4200000000000002,4526.0,4477.0,0.0,0.0,0.0,4477.0,inf,inf
109651,0.48999999999999994,217460.32,106140.32,0.0,0.0,0.0,106140.32,inf,inf
109765,1.25,8035.972222222223,7160.0,0.0,0.0,0.0,7160.0,inf,inf
109835,0.25,52502.0,9800.0,0.0,0.0,0.0,9800.0,inf,inf
109933,12.100000000000001,141495.0,139295.0,0.0,0.0,0.0,139295.0,inf,inf
110564,0.6200000000000001,199978.0,33205.0,0.0,0.0,0.0,33205.0,inf,inf
110719,0.25,15462.0,10771.0,0.0,0.0,0.0,10771.0,inf,inf
111582,1.0699999999999998,41295.0,23556.0,0.0,0.0,0.0,23556.0,inf,inf
112077,2.5800000000000005,732561.0,260298.0,0.0,0.0,0.0,260298.0,inf,inf
112551,1.1600000000000001,906388.0,392066.0,0.0,0.0,0.0,392066.0,inf,inf
112592,0.52,152389.0,106223.0,0.0,0.0,0.0,106223.0,inf,inf
112660,0.62,248816.0,149766.0,0.0,0.0,0.0,149766.0,inf,inf
113050,1.62,239536.0,237036.0,0.0,0.0,0.0,237036.0,inf,inf
113650,0.56,12553.0,11398.0,0.0,0.0,0.0,11398.0,inf,inf
113826,1.9400000000000004,239759.0,174021.0,0.0,0.0,0.0,174021.0,inf,inf
114032,0.9100000000000001,90829.0,21054.0,0.0,0.0,0.0,21054.0,inf,inf
114342,1.26,376772.0,295534.0,0.0,0.0,0.0,295534.0,inf,inf
114495,8.370000000000001,9439.0,7454.0,0.0,0.0,0.0,7454.0,inf,inf
114617,0.26,127185.3,16580.0,0.0,0.0,0.0,16580.0,inf,inf
115438,0.7100000000000001,368486.16000000003,287597.08,0.0,0.0,0.0,287597.08,inf,inf
